"Domain","Available","Premium","Price"
"allice.asia","available","","$1.98"
"allice.autos","available","","$1.80"
"allice.baby","available","","$1.80"
"allice.website","available","","$0.98"
"allice.monster","available","","$1.80"
"allice.cyou","available","","$1.39"
"allice.site","available","","$0.98"
"allice.lol","available","","$1.80"
"allice.horse","available","","$1.98"
"allice.rest","available","","$1.80"
"allice.quest","available","","$1.80"
"allice.boats","available","","$1.80"
"allice.sbs","available","","$1.54"
"allice.click","available","","$1.80"
"allice.buzz","available","","$1.98"
"allice.pics","available","","$1.80"
"allice.mom","available","","$1.80"
"allice.bond","available","","$1.60"
"allice.cfd","available","","$1.39"
"allice.makeup","available","","$1.00"
"allice.homes","available","","$1.80"
"allice.beauty","available","","$1.00"
"allice.motorcycles","available","","$1.80"
"allice.hair","available","","$1.00"
"allice.yachts","available","","$1.80"
"allice.skin","available","","$1.00"
"allice.forum","available","","$1.80"
"allice.beer","available","","$1.98"
"allice.christmas","available","","$1.80"
"allice.lat","available","","$1.80"
"allice.lifestyle","available","","$1.80"
"allice.living","available","","$1.80"
"alice.rest","available","","$1.80"
"alice.christmas","available","","$1.80"
"alice.lat","available","","$1.80"
